listing_id,date
3059314,2014-06-26
3059314,2016-08-08
3059314,2016-08-12
3059314,2016-08-16
3059314,2016-08-25
3059314,2016-09-06
3059314,2016-09-14
3059314,2016-09-18
3059314,2016-09-24
3059314,2016-10-02
3059314,2016-10-05
3059314,2016-10-10
3059314,2016-10-15
3059314,2016-10-19
3059314,2016-10-29
3059314,2016-11-06
3059314,2016-11-13
3059314,2016-11-15
3059314,2016-11-25
3059314,2016-11-27
3059314,2016-12-05
3059314,2016-12-11
3059314,2016-12-18
3059314,2016-12-27
3059314,2016-12-30
3059314,2017-01-05
3059314,2017-01-09
3059314,2017-01-11
3059314,2017-01-13
3059314,2017-01-16
3059314,2017-01-25
3059314,2017-02-05
3059314,2017-02-13
3059314,2017-02-25
3059314,2017-03-05
3059314,2017-03-16
3059314,2017-03-19
14693005,2016-09-27
14693005,2016-10-10
12919952,2016-09-27
12919952,2016-09-29
12919952,2016-10-04
12919952,2016-10-05
12919952,2016-10-07
12919952,2016-10-09
12919952,2016-10-18
12919952,2016-10-20
12919952,2016-10-31
12919952,2016-11-04
12919952,2016-11-09
12919952,2016-11-10
12919952,2016-11-12
12919952,2016-11-13
12919952,2016-11-23
12919952,2016-11-24
12919952,2016-11-25
12919952,2016-11-30
12919952,2016-12-12
12919952,2016-12-30
12919952,2017-01-09
12919952,2017-01-12
12919952,2017-01-15
12919952,2017-01-18
12919952,2017-01-21
12919952,2017-01-25
12919952,2017-01-29
12919952,2017-01-31
12919952,2017-02-03
12919952,2017-02-05
12919952,2017-02-06
12919952,2017-02-09
12919952,2017-02-11
12919952,2017-02-12
12919952,2017-02-16
12919952,2017-02-19
12919952,2017-02-20
12919952,2017-02-26
12919952,2017-03-03
12919952,2017-03-07
12919952,2017-03-09
12919952,2017-03-14
12919952,2017-03-19
12919952,2017-03-27
5498995,2015-07-04
5498995,2015-07-23
5498995,2015-07-25
5498995,2015-07-28
5498995,2015-08-01
5498995,2015-08-03
5498995,2015-08-07
5498995,2015-08-08
5498995,2015-08-11
5498995,2015-08-13
5498995,2015-08-15
5498995,2015-08-18
5498995,2015-08-21
5498995,2015-08-24
5498995,2015-08-26
5498995,2015-08-31
5498995,2015-09-04
5498995,2015-09-06
5498995,2015-09-11
5498995,2015-09-14
5498995,2015-09-17
5498995,2015-09-21
5498995,2015-09-24
5498995,2015-09-27
5498995,2015-10-01
5498995,2015-10-06
5498995,2015-10-13
5498995,2015-10-15
5498995,2015-10-17
5498995,2015-10-19
5498995,2015-10-26
5498995,2015-11-14
5498995,2015-11-23
5498995,2015-11-27
5498995,2015-12-01
5498995,2015-12-08
5498995,2015-12-17
5498995,2015-12-22
5498995,2015-12-24
5498995,2016-01-05
5498995,2016-01-07
5498995,2016-01-19
5498995,2016-01-24
5498995,2016-02-01
5498995,2016-02-07
5498995,2016-02-10
5498995,2016-02-14
5498995,2016-02-16
5498995,2016-02-22
5498995,2016-02-27
5498995,2016-02-29
5498995,2016-03-08
5498995,2016-03-13
5498995,2016-03-15
5498995,2016-03-24
5498995,2016-04-05
5498995,2016-04-09
5498995,2016-04-12
5498995,2016-04-16
5498995,2016-04-19
5498995,2016-04-24
5498995,2016-04-27
5498995,2016-05-02
5498995,2016-05-08
5498995,2016-05-21
5498995,2016-05-24
5498995,2016-05-26
5498995,2016-05-29
5498995,2016-06-06
5498995,2016-06-09
5498995,2016-06-14
5498995,2016-06-21
5498995,2016-06-23
5498995,2016-06-27
5498995,2016-06-28
5498995,2016-07-04
5498995,2016-07-07
5498995,2016-07-10
5498995,2016-07-13
5498995,2016-07-16
5498995,2016-07-19
5498995,2016-07-21
5498995,2016-07-25
5498995,2016-07-26
5498995,2016-07-29
5498995,2016-08-01
5498995,2016-08-06
5498995,2016-08-09
5498995,2016-08-13
5498995,2016-08-15
5498995,2016-08-21
5498995,2016-08-29
5498995,2016-08-31
5498995,2016-09-02
5498995,2016-09-07
5498995,2016-09-12
5498995,2016-09-17
5498995,2016-09-21
5498995,2016-09-26
5498995,2016-10-05
5498995,2016-10-11
5498995,2016-10-16
5498995,2016-10-20
5498995,2016-10-24
5498995,2016-10-27
5498995,2016-10-31
5498995,2016-11-03
5498995,2016-11-07
5498995,2016-11-11
5498995,2016-11-15
5498995,2016-11-19
5498995,2016-11-22
5498995,2016-11-26
5498995,2016-12-12
5498995,2017-01-04
5498995,2017-01-17
5498995,2017-01-20
5498995,2017-01-24
5498995,2017-01-29
5498995,2017-02-13
5498995,2017-02-21
5498995,2017-02-27
5498995,2017-03-04
5498995,2017-03-07
5498995,2017-03-11
5498995,2017-03-14
5498995,2017-03-20
5498995,2017-03-25
5498995,2017-03-29
13796770,2016-08-05
13796770,2016-10-30
12154744,2016-04-09
12154744,2016-05-12
12154744,2016-05-16
12154744,2016-05-23
12154744,2016-05-24
12154744,2016-05-31
12154744,2016-06-02
12154744,2016-06-06
12154744,2016-06-11
12154744,2016-06-13
12154744,2016-06-20
12154744,2016-06-25
12154744,2016-06-27
12154744,2016-07-06
12154744,2016-07-11
12154744,2016-07-21
12154744,2016-07-29
12154744,2016-07-31
12154744,2016-08-07
12154744,2016-08-11
12154744,2016-08-15
12154744,2016-08-24
12154744,2016-08-25
12154744,2016-08-29
12154744,2016-09-01
12154744,2016-09-24
12154744,2016-10-09
12154744,2016-10-16
12154744,2016-10-28
12154744,2016-11-12
12154744,2016-11-27
12154744,2017-02-20
12154744,2017-03-16
12154744,2017-03-19
12154744,2017-03-22
6328613,2015-07-02
6328613,2015-07-11
6328613,2015-07-14
6328613,2015-07-29
6328613,2015-08-01
6328613,2015-09-15
6328613,2015-09-20
6328613,2015-09-23
6328613,2015-09-30
6328613,2015-10-05
6328613,2015-10-07
6328613,2015-10-15
6328613,2015-11-19
6328613,2015-11-25
6328613,2015-12-06
6328613,2015-12-23
6328613,2016-01-05
6328613,2016-01-10
6328613,2016-01-23
6328613,2016-02-03
6328613,2016-02-13
6328613,2016-02-18
6328613,2016-02-24
6328613,2016-03-13
6328613,2016-03-27
6328613,2016-04-05
6328613,2016-04-11
6328613,2016-05-02
6328613,2016-05-05
6328613,2016-05-08
6328613,2016-06-05
6328613,2016-08-14
6328613,2016-08-23
6328613,2016-08-26
6328613,2016-08-30
6328613,2016-09-17
6328613,2016-09-28
6328613,2017-01-21
2502509,2014-04-05
2502509,2014-04-09
2502509,2014-05-08
2502509,2014-06-29
2502509,2014-08-07
2502509,2014-08-09
2502509,2014-08-13
2502509,2014-08-20
2502509,2014-08-21
2502509,2014-08-25
2502509,2014-08-26
2502509,2014-08-28
2502509,2014-08-30
2502509,2014-09-10
2502509,2014-09-15
2502509,2014-09-16
2502509,2014-09-19
2502509,2014-09-22
2502509,2014-09-25
2502509,2014-09-26
2502509,2014-09-30
2502509,2014-10-02
2502509,2014-10-04
2502509,2014-10-05
2502509,2014-10-07
2502509,2014-10-11
2502509,2014-10-13
2502509,2014-10-18
2502509,2014-10-21
2502509,2014-10-23
2502509,2014-10-26
2502509,2014-10-30
2502509,2014-11-07
2502509,2014-11-10
2502509,2014-11-13
2502509,2014-11-22
2502509,2014-12-07
2502509,2014-12-10
2502509,2015-01-03
2502509,2015-02-16
2502509,2015-03-01
2502509,2015-03-06
2502509,2015-03-11
2502509,2015-03-17
2502509,2015-03-23
2502509,2015-03-28
2502509,2015-04-01
2502509,2015-04-10
2502509,2015-04-15
2502509,2015-05-01
2502509,2015-05-05
2502509,2015-05-07
2502509,2015-05-13
2502509,2015-05-17
2502509,2015-05-26
2502509,2015-06-01
2502509,2015-06-08
2502509,2015-06-14
2502509,2015-06-22
2502509,2015-06-25
2502509,2015-06-28
2502509,2015-07-14
2502509,2015-07-18
2502509,2015-07-20
2502509,2015-07-24
2502509,2015-07-25
2502509,2015-07-28
2502509,2015-07-30
2502509,2015-08-07
2502509,2015-08-20
2502509,2015-09-04
2502509,2015-09-27
2502509,2015-10-12
2502509,2015-10-24
2502509,2015-10-26
2502509,2015-11-15
2502509,2015-12-27
2502509,2016-02-10
2502509,2016-02-12
2502509,2016-02-17
2502509,2016-02-20
2502509,2016-08-02
2502509,2016-08-09
2502509,2016-08-16
2502509,2016-08-30
2502509,2016-09-03
2502509,2016-09-07
2502509,2016-09-13
2502509,2016-09-27
2502509,2016-10-13
2502509,2016-11-07
2502509,2016-12-10
2502509,2017-01-16
2502509,2017-01-22
2502509,2017-02-13
2502509,2017-02-20
2502509,2017-02-27
2502509,2017-03-07
2502509,2017-03-13
2502509,2017-03-21
2502509,2017-03-30
17161133,2017-03-04
17161133,2017-03-05
17161133,2017-03-12
17161133,2017-03-15
17161133,2017-03-23
17161133,2017-03-28
2854381,2014-06-26
2854381,2014-07-15
2854381,2014-09-21
2854381,2014-10-20
2854381,2015-01-02
2854381,2015-03-29
2854381,2015-05-26
2854381,2015-12-27
2854381,2016-06-26
2854381,2016-07-11
2854381,2016-07-26
8922138,2016-06-06
8922138,2016-06-14
8922138,2016-06-17
8922138,2016-07-01
8922138,2016-07-02
8922138,2016-07-05
8922138,2016-07-07
8922138,2016-07-10
8922138,2016-07-17
8922138,2016-07-19
8922138,2016-07-21
8922138,2016-07-27
8922138,2016-07-29
8922138,2016-08-02
8922138,2016-10-20
8922138,2016-10-25
8922138,2016-11-01
8922138,2016-11-22
8922138,2016-11-25
8922138,2016-11-27
8922138,2016-12-15
8922138,2016-12-24
8922138,2017-01-03
8922138,2017-01-07
8922138,2017-02-04
8922138,2017-02-17
8922138,2017-02-28
8922138,2017-03-11
8922138,2017-03-17
8922138,2017-03-19
8922138,2017-03-24
8922138,2017-03-26
8922138,2017-04-02
5619130,2015-07-24
5619130,2015-08-18
5619130,2016-03-31
5619130,2016-05-04
5619130,2016-08-10
13939409,2016-07-17
13939409,2016-07-27
13939409,2016-08-03
13939409,2016-08-14
13939409,2016-08-23
13939409,2016-10-15
13939409,2016-10-31
13939409,2017-01-15
15983697,2017-03-01
5362928,2015-02-22
5362928,2015-03-03
5362928,2015-03-06
5362928,2015-03-25
5362928,2015-03-29
5362928,2015-03-30
5362928,2015-04-16
5362928,2015-04-19
5362928,2015-04-23
5362928,2015-04-25
5362928,2015-04-29
5362928,2016-01-01
5362928,2016-04-30
5362928,2016-05-03
5362928,2016-05-07
5362928,2016-05-09
5362928,2016-05-12
5362928,2016-05-16
5362928,2016-05-20
5362928,2016-05-21
5362928,2016-05-25
5362928,2016-05-29
5362928,2016-05-29
5362928,2016-06-03
5362928,2016-06-10
5362928,2016-06-12
5362928,2016-06-23
5362928,2016-06-24
5362928,2016-06-27
5362928,2016-07-01
5362928,2016-07-04
5362928,2016-07-07
5362928,2016-07-10
5362928,2016-08-09
5362928,2016-08-10
5362928,2016-08-13
5362928,2016-08-21
5362928,2016-08-23
5362928,2016-08-24
5362928,2016-08-27
5362928,2016-09-28
5362928,2016-09-30
5362928,2016-10-01
5362928,2016-10-06
5362928,2016-10-08
5362928,2016-10-18
5362928,2016-10-20
5362928,2016-11-03
5362928,2016-11-11
5362928,2016-11-14
5362928,2016-11-18
5362928,2016-11-19
5362928,2016-11-22
5362928,2016-11-27
5362928,2016-11-28
5362928,2016-12-04
5362928,2016-12-11
5362928,2016-12-15
5362928,2016-12-18
5362928,2016-12-23
5362928,2016-12-26
5362928,2017-01-04
5362928,2017-01-14
5362928,2017-01-17
5362928,2017-01-19
5362928,2017-01-22
5362928,2017-01-31
5362928,2017-02-05
5362928,2017-02-08
5362928,2017-02-10
5362928,2017-02-13
5362928,2017-02-17
5362928,2017-02-25
5362928,2017-02-27
5362928,2017-03-03
5362928,2017-03-09
5362928,2017-03-13
5362928,2017-03-22
5362928,2017-03-25
10875002,2016-05-21
10875002,2016-05-30
10875002,2016-06-11
10875002,2016-06-29
10875002,2016-07-02
10875002,2016-07-05
10875002,2016-07-11
10875002,2016-07-26
10875002,2016-07-30
10875002,2016-08-04
10875002,2016-08-10
10875002,2016-08-17
10875002,2016-08-20
10875002,2016-08-22
10875002,2016-08-24
10875002,2016-08-27
10875002,2016-09-04
10875002,2016-09-10
10875002,2016-09-11
10875002,2016-09-13
10875002,2016-09-21
10875002,2016-09-24
10875002,2016-09-30
10875002,2016-10-02
10875002,2016-10-09
10875002,2016-10-17
10875002,2016-10-25
10875002,2016-10-29
10875002,2016-11-20
10875002,2016-12-04
10875002,2017-01-01
10875002,2017-01-11
10875002,2017-01-17
10875002,2017-01-30
10875002,2017-02-05
10875002,2017-02-13
10875002,2017-02-19
10875002,2017-02-24
10875002,2017-03-06
10875002,2017-03-12
10875002,2017-03-18
6939930,2015-06-30
6939930,2015-07-10
6939930,2015-07-11
6939930,2015-07-12
6939930,2015-07-19
6939930,2015-07-25
6939930,2015-08-04
6939930,2015-08-16
6939930,2015-08-24
6939930,2015-08-28
6939930,2015-09-01
6939930,2015-09-07
6939930,2015-09-30
6939930,2015-10-05
6939930,2015-10-12
6939930,2015-10-13
6939930,2015-10-19
6939930,2015-10-27
6939930,2016-04-06
6939930,2016-04-17
6939930,2016-05-17
6939930,2016-05-20
6939930,2016-06-11
6939930,2016-06-13
6939930,2016-07-05
6939930,2016-07-16
6939930,2016-07-21
6939930,2016-07-23
6939930,2016-07-25
6939930,2016-07-30
6939930,2016-08-08
6939930,2016-08-18
6939930,2016-08-21
6939930,2016-09-14
6939930,2016-10-10
6939930,2016-10-17
6939930,2016-11-03
6854734,2015-06-22
6854734,2015-06-30
6854734,2015-07-07
6854734,2015-07-16
6854734,2015-07-29
6854734,2015-08-07
6854734,2015-08-12
6854734,2015-08-18
6854734,2015-08-31
6854734,2015-09-08
6854734,2015-09-14
6854734,2015-09-21
6854734,2015-10-06
6854734,2015-10-28
6854734,2016-05-24
6854734,2016-05-30
6854734,2016-06-27
6854734,2016-07-04
6854734,2016-08-07
6854734,2016-08-14
6854734,2016-09-13
6854734,2016-09-21
6854734,2016-10-10
6854734,2016-10-24
6293687,2015-08-15
6293687,2015-08-19
6293687,2015-09-06
6293687,2015-09-12
6293687,2015-09-18
6293687,2015-09-21
6293687,2015-09-27
6293687,2015-10-04
6293687,2015-10-07
6293687,2015-10-15
6293687,2015-10-18
6293687,2015-10-24
6293687,2015-10-25
6293687,2015-10-27
6293687,2015-11-02
6293687,2015-11-08
6293687,2015-11-15
6293687,2015-11-22
6293687,2015-11-27
6293687,2015-12-06
6293687,2015-12-13
6293687,2015-12-20
6293687,2016-01-03
6293687,2016-01-07
6293687,2016-01-11
6293687,2016-01-17
6293687,2016-01-24
6293687,2016-01-28
6293687,2016-02-08
6293687,2016-02-16
6293687,2016-02-21
6293687,2016-02-29
6293687,2016-03-16
6293687,2016-03-23
6293687,2016-03-30
6293687,2016-04-04
6293687,2016-04-18
6293687,2016-05-08
6293687,2016-05-16
6293687,2016-05-23
6293687,2016-05-29
6293687,2016-06-11
6293687,2016-06-16
6293687,2016-06-21
6293687,2016-07-17
6293687,2016-07-20
6293687,2016-07-25
6293687,2016-07-27
6293687,2016-07-31
6293687,2016-08-04
6293687,2016-08-07
6293687,2016-08-09
6293687,2016-08-11
6293687,2016-08-16
6293687,2016-08-20
6293687,2016-08-30
6293687,2016-09-05
6293687,2016-09-09
6293687,2016-09-11
6293687,2016-09-12
6293687,2016-09-14
6293687,2016-09-18
6293687,2016-09-22
6293687,2016-10-02
6293687,2016-10-10
6293687,2016-10-16
6293687,2016-10-24
6293687,2016-10-27
6293687,2016-10-30
6293687,2016-11-03
6293687,2016-11-07
6293687,2016-11-13
6293687,2016-11-19
6293687,2016-11-23
6293687,2016-12-05
6293687,2016-12-11
6293687,2016-12-18
6293687,2017-01-02
6293687,2017-01-09
6293687,2017-01-13
6293687,2017-01-16
6293687,2017-01-22
6293687,2017-01-27
6293687,2017-02-11
6293687,2017-03-05
6293687,2017-03-13
6293687,2017-03-18
6293687,2017-03-26
6293687,2017-03-30
10366008,2016-02-14
10366008,2016-02-26
10366008,2016-03-10
10366008,2016-03-23
10366008,2016-03-29
10366008,2016-04-10
10366008,2016-04-14
10366008,2016-04-28
10366008,2016-04-30
10366008,2016-05-17
10366008,2016-05-28
10366008,2016-05-30
10366008,2016-06-03
10366008,2016-06-06
10366008,2016-06-11
10366008,2016-06-22
10366008,2016-07-11
10366008,2016-07-14
10366008,2016-07-18
10366008,2016-07-24
10366008,2016-07-31
10366008,2016-08-07
10366008,2016-08-13
10366008,2016-08-19
10366008,2016-08-24
10366008,2016-08-28
10366008,2016-09-01
10366008,2016-09-04
10366008,2016-09-07
10366008,2016-09-15
10366008,2016-10-10
10366008,2016-10-14
10366008,2016-10-15
10366008,2016-10-17
10366008,2016-10-23
10366008,2016-10-30
10366008,2016-11-01
14336139,2016-08-30
14336139,2016-09-07
14336139,2016-09-08
14336139,2016-09-09
14336139,2016-09-10
14336139,2016-09-13
14336139,2016-09-15
14336139,2016-09-19
14336139,2016-09-22
14336139,2016-09-23
14336139,2016-09-24
14336139,2016-09-26
14336139,2016-10-08
14336139,2016-10-10
14336139,2016-10-17
14336139,2016-10-23
14336139,2016-10-30
14336139,2016-11-05
